Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Streams,Popularity
166368,4,0.817,0.556,4,-7.178,0,0.14,0.469,0,0.131,0.314,126.991,285069584,66
217801,4,0.639,0.839,11,-4.99,1,0.0364,0.0529,0,0.0854,0.528,126.057,173277992,70
201832,4,0.536,0.751,7,-5.472,1,0.0342,0.0506,9.63E-05,0.1,0.51,143.977,,65
194341,4,0.542,0.962,0,-3.096,1,0.0911,0.000474,0.00103,0.166,0.659,150.025,,63
202912,4,0.504,0.891,9,-4.784,1,0.0492,0.00527,2.00E-05,0.341,0.329,144.99,,34
167534,4,0.663,0.77,0,-4.88,1,0.0371,0.0876,0,0.352,0.772,132.058,223879632,79
179506,4,0.635,0.97,9,-4.03,1,0.0481,0.0087,1.88E-05,0.393,0.712,117.981,,42
207133,4,0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,1720997862,82
167303,4,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,3471556211,91
240133,4,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46E-06,0.089,0.0592,110.011,1255053291,79
208906,4,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,926675617,74
176386,4,0.375,0.93,2,-2.631,1,0.0561,0.00064,0,0.318,0.491,147.124,537278107,69
172213,4,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,686237112,69
340706,4,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,1572329364,81
224866,4,0.427,0.262,7,-8.541,1,0.0276,0.746,0,0.068,0.228,104.085,600809435,71
197346,4,0.653,0.869,5,-3.725,1,0.0382,0.128,2.20E-05,0.046,0.697,122.017,202079110,62
174000,4,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,2796720479,86
315300,3,0.573,0.514,7,-8.364,1,0.242,0.496,7.78E-06,0.271,0.706,186.611,,23
196336,3,0.756,0.606,2,-3.303,1,0.0298,0.54,2.40E-06,0.141,0.95,101.792,,10
106666,3,0.749,0.629,8,-5.434,1,0.216,0.21,1.62E-06,0.0849,0.577,161.945,,60
126857,4,0.793,0.768,1,-6.244,1,0.144,0.118,3.65E-05,0.114,0.261,140.141,203769806,73
